"['A52', '2023-01-24', '2023-01-24', '1941', 'Bank F', '', '', 'Diesel F-bil', '', '', '1198,24']","['A52', '2023-01-24', '2023-01-24', '5511', 'Drivmedel', 'PRY2', '', 'Diesel F-bil', '', '1198,24', '']",587,83139,0741326839,Företagskonto,SEK,2023-01-24,2023-01-24,2023-01-24,Diesel F-bil,Överföring via internet,-1198.24,71448.98
"['A53', '2023-01-24', '2023-01-24', '1941', 'Bank F', '', '', 'MatSyrelseUtbildning', '', '', '700']","['A53', '2023-01-24', '2023-01-24', '4210', 'Arrangemangskostnad', 'ADM2', '', 'MatSyrelseUtbildning', '', '700', '']",575,83139,0741326839,Företagskonto,SEK,2023-01-24,2023-01-24,2023-01-24,MatSyrelseUtbild,Överföring via internet,-700.00,64228.18
"['A54', '2023-01-24', '2023-01-24', '1941', 'Bank F', '', '', 'Bokfï¿½ringsmat', '', '', '170']","['A54', '2023-01-24', '2023-01-24', '7691', 'Fika', 'ADM2', '', 'Bokfï¿½ringsmat', '', '170', '']",589,83139,0741326839,Företagskonto,SEK,2023-01-24,2023-01-24,2023-01-24,Bokföringsmat,Överföring via internet,-170.00,74997.42
"['A55', '2023-01-24', '2023-01-24', '1941', 'Bank F', '', '', 'PingisBollar', '', '', '468']","['A55', '2023-01-24', '2023-01-24', '6610', 'Inkï¿½p inventarier', 'KUL2', '', 'PingisBollar', '', '468', '']",574,83139,0741326839,Företagskonto,SEK,2023-01-24,2023-01-24,2023-01-24,PingisBollar,Pg-bet. via internet,-468.00,63760.18
"['A56', '2023-01-24', '2023-01-24', '1941', 'Bank F', '', '', 'Mat Bordsvise', '', '', '2156']","['A56', '2023-01-24', '2023-01-24', '2900', 'Fï¿½rutbetalda intï¿½kter / Upplupna kostnader', '', '', 'Mat Bordsvise', 'Se A1866 2022', '2156', '']",584,83139,0741326839,Företagskonto,SEK,2023-01-24,2023-01-24,2023-01-24,Mat Bordsvise,Överföring via internet,-2156.00,68385.98
"['A57', '2023-01-24', '2023-01-24', '1941', 'Bank F', '', '', 'Mat Bordsvise', '', '', '220']","['A57', '2023-01-24', '2023-01-24', '2900', 'Fï¿½rutbetalda intï¿½kter / Upplupna kostnader', '', '', 'Mat Bordsvise', 'Se A1867 2022', '220', '']",576,83139,0741326839,Företagskonto,SEK,2023-01-24,2023-01-24,2023-01-24,Mat Bordsvise,Överföring via internet,-220.00,64928.18
"['A59', '2023-01-24', '2023-01-24', '1941', 'Bank F', '', '', 'Bar Bordsvise', '', '', '380']","['A59', '2023-01-24', '2023-01-24', '2900', 'Fï¿½rutbetalda intï¿½kter / Upplupna kostnader', '', '', 'Bar Bordsvise', 'Se A1868 2022', '380', '']",578,83139,0741326839,Företagskonto,SEK,2023-01-24,2023-01-24,2023-01-24,Bar Bordsvise,Överföring via internet,-380.00,65188.08
"['A60', '2023-01-24', '2023-01-24', '1941', 'Bank F', '', '', 'Mat Reptillfï¿½lle', '', '', '919,32']","['A60', '2023-01-24', '2023-01-24', '2900', 'Fï¿½rutbetalda intï¿½kter / Upplupna kostnader', '', '', 'Mat Reptillfï¿½lle', 'Se A1869 2022', '919,32', '']",581,83139,0741326839,Företagskonto,SEK,2023-01-24,2023-01-24,2023-01-24,Mat Reptillfälle,Överföring via internet,-919.32,66708.16
"['A61', '2023-01-24', '2023-01-24', '1941', 'Bank F', '', '', 'Scenklï¿½der', '', '', '105']","['A61', '2023-01-24', '2023-01-24', '2900', 'Fï¿½rutbetalda intï¿½kter / Upplupna kostnader', '', '', 'Scenklï¿½der', 'Se A1870 2023', '105', '']",590,83139,0741326839,Företagskonto,SEK,2023-01-24,2023-01-24,2023-01-24,Scenkläder,Överföring via internet,-105.00,75167.42
"['A62', '2023-01-24', '2023-01-24', '1941', 'Bank F', '', '', 'Scenklï¿½der', '', '', '185']","['A62', '2023-01-24', '2023-01-24', '2900', 'Fï¿½rutbetalda intï¿½kter / Upplupna kostnader', '', '', 'Scenklï¿½der', 'Se A1871 2023', '185', '']",592,83139,0741326839,Företagskonto,SEK,2023-01-24,2023-01-24,2023-01-24,Scenkläder,Överföring via internet,-185.00,76308.42
