Vernr;Bokföringsdatum;Registreringsdatum;Konto;Benämning;Ks;Projnr;Verifikationstext;Transaktionsinfo;Debet;Kredit
A571;2023-05-17;2023-05-17;6610;Inköp inventarier;PRY1;;Bågfil;;129;
A572;2023-05-17;2023-05-17;1941;Bank F;;;Kontorsmaterial;;;20
A572;2023-05-17;2023-05-17;6110;Kontorsmateriel;ADM1;;Kontorsmaterial;;20;
A573;2023-05-17;2023-05-17;1941;Bank F;;;städ artiklar;;;123,8
A573;2023-05-17;2023-05-17;6610;Inköp inventarier;PRY1;;städ artiklar;;123,8;
A574;2023-05-17;2023-05-17;1941;Bank F;;;Städartiklar;;;171,8
A574;2023-05-17;2023-05-17;6610;Inköp inventarier;PRY1;;Städartiklar;;171,8;
A575;2023-05-17;2023-05-17;1941;Bank F;;;Diesel;;;1192,11
A575;2023-05-17;2023-05-17;5511;Drivmedel;PRY2;;Diesel;;1192,11;
A576;2023-05-17;2023-05-17;1941;Bank F;;;CeqPris;;;1200
A576;2023-05-17;2023-05-17;4321;Inköp varor;STU1;;CeqPris;;1200;
A577;2023-05-17;2023-05-17;1941;Bank F;;;Kontorsmaterial;;;298
A577;2023-05-17;2023-05-17;6110;Kontorsmateriel;ADM1;;Kontorsmaterial;;298;
A578;2023-05-17;2023-05-17;1941;Bank F;;;Saft Deltagareavgift;;;3750
A578;2023-05-17;2023-05-17;6070;Representaion;ADM2;;Saft Deltagareavgift;;3750;
A579;2023-05-03;2023-05-18;1943;Bank sexmästeriet;;;Klarna*partykungen.se K7682;;;1806
A579;2023-05-03;2023-05-18;4321;Inköp varor;SEX1;;Klarna*partykungen.se K7682;;1806;
A580;2023-05-04;2023-05-18;1943;Bank sexmästeriet;;;temashop.se K7682;;;634
A580;2023-05-04;2023-05-18;4321;Inköp varor;SEX1;;temashop.se K7682;;634;
A581;2023-05-08;2023-05-18;1943;Bank sexmästeriet;;;IKEA-SVAGERTORP K7682;;;1612
A581;2023-05-08;2023-05-18;6610;Inköp inventarier;SEX1;;IKEA-SVAGERTORP K7682;;1612;
A582;2023-05-11;2023-05-18;1943;Bank sexmästeriet;;;ICA KVANTUM MALMBORGS K7682;;;221,7
A582;2023-05-11;2023-05-18;4321;Inköp varor;SEX1;;ICA KVANTUM MALMBORGS K7682;;221,7;
A583;2023-05-10;2023-05-18;1943;Bank sexmästeriet;;;Systembolaget K6612;;;38843,8
A583;2023-05-10;2023-05-18;4312;Inköp Måltidsdryck;SEX1;;Systembolaget K6612;;7737,9;
A583;2023-05-10;2023-05-18;4412;Inköp pubdryck;SEX1;;Systembolaget K6612;;31105,9;
A584;2023-05-16;2023-05-18;1943;Bank sexmästeriet;;;8,31397E+13;;;23000
A584;2023-05-16;2023-05-18;1941;Bank F;;;8,31397E+13;;23000;
A585;2023-05-19;2023-08-11;1943;Bank sexmästeriet;;;Tillstånd Nollesex;;;1400
A585;2023-05-19;2023-08-11;6950;Avgift till myndighet;NOL1;;Tillstånd Nollesex;;1400;
A586;2023-05-19;2023-05-18;1943;Bank sexmästeriet;;;Tillstånd Välkomstgasque;;;1400
A586;2023-05-19;2023-05-18;6950;Avgift till myndighet;SEX1;;Tillstånd Välkomstgasque;;1400;
A587;2023-05-19;2023-05-18;1943;Bank sexmästeriet;;;Tillstånd Nollegasque;;;1400
A587;2023-05-19;2023-05-18;6950;Avgift till myndighet;SEX1;;Tillstånd Nollegasque;;1400;
A588;2023-05-19;2023-05-18;1943;Bank sexmästeriet;;;Tillstånd LKG;;;1400
A588;2023-05-19;2023-05-18;6950;Avgift till myndighet;SEX1;;Tillstånd LKG;;1400;
A589;2023-05-19;2023-05-18;1941;Bank F;;;intervjumat;;;255
A589;2023-05-19;2023-05-18;7691;Fika;ADM2;;intervjumat;;255;
A590;2023-05-19;2023-05-19;3800;Internt (biljetter och försäljning);SEX1;;Fotograf och Sångförmän FETSM 2;;;280
A590;2023-05-19;2023-05-19;6070;Representaion;SEX1;;Fotograf och Sångförmän FETSM 2;;210;
A590;2023-05-19;2023-05-19;7695;Arbetskostnad;SAN1;;Fotograf och Sångförmän FETSM 2;;70;
A591;2023-06-03;2023-06-03;1941;Bank F;;;Mat SRF SRpi;;;133
A591;2023-06-03;2023-06-03;7691;Fika;ADM2;;Mat SRF SRpi;;133;
A592;2023-06-03;2023-06-03;1941;Bank F;;;Alumnipub;;;1726,92
A592;2023-06-03;2023-06-03;4210;Arrangemangskostnad;FNU1;;Alumnipub;;1726,92;
A593;2023-06-03;2023-06-03;1941;Bank F;;;Intervjumat;;;164
A593;2023-06-03;2023-06-03;7691;Fika;ADM2;;Intervjumat;;164;
A594;2023-06-03;2023-06-03;1941;Bank F;;;Event Fika;;;110,5
A594;2023-06-03;2023-06-03;4210;Arrangemangskostnad;LIK1;;Event Fika;;110,5;
A595;2023-06-03;2023-06-03;1941;Bank F;;;Tandem ;;;89,8
A595;2023-06-03;2023-06-03;4210;Arrangemangskostnad;KUL1;;Tandem ;;89,8;
A596;2023-06-03;2023-06-03;1941;Bank F;;;Revisormat;;;85
A596;2023-06-03;2023-06-03;7691;Fika;ADM2;;Revisormat;;85;
A597;2023-06-03;2023-06-03;1941;Bank F;;;Klättring;;;800
A597;2023-06-03;2023-06-03;4210;Arrangemangskostnad;KUL2;;Klättring;;800;
A598;2023-06-03;2023-06-03;1941;Bank F;;;Event fika;;;316
A598;2023-06-03;2023-06-03;4210;Arrangemangskostnad;KUL2;;Event fika;;316;
A599;2023-06-03;2023-06-03;1941;Bank F;;;Vårskål;;;224,7
A599;2023-06-03;2023-06-03;4210;Arrangemangskostnad;ADM2;;Vårskål;;224,7;
A600;2023-06-03;2023-06-03;1941;Bank F;;;Diesel;;;393,2
A600;2023-06-03;2023-06-03;5511;Drivmedel;PRY2;;Diesel;;393,2;
A601;2023-06-03;2023-06-03;1941;Bank F;;;Intervju godis;;;62,68
A601;2023-06-03;2023-06-03;4311;Inköp mat;NOL1;;Intervju godis;;62,68;
A602;2023-06-03;2023-06-03;1941;Bank F;;;Outfit;;;50
A602;2023-06-03;2023-06-03;5480;Arbetskläder;NOL1;;Outfit;;50;
A603;2023-06-03;2023-06-03;1941;Bank F;;;Outfit;;;178,5
A603;2023-06-03;2023-06-03;5480;Arbetskläder;NOL1;;Outfit;;178,5;
A604;2023-06-03;2023-06-03;1941;Bank F;;;Outfit ;;;159,9
A604;2023-06-03;2023-06-03;5480;Arbetskläder;NOL1;;Outfit ;;159,9;
A605;2023-06-03;2023-06-03;1941;Bank F;;;Outfit;;;1869
A605;2023-06-03;2023-06-03;5480;Arbetskläder;NOL1;;Outfit;;1869;
A606;2023-05-25;2023-09-19;1943;Bank sexmästeriet;;;NETS*AB Tingstad Pap K7682 (Backvagnar igen);;;14783
A606;2023-05-25;2023-09-19;2171;Investeringsfonden;;;NETS*AB Tingstad Pap K7682 (Backvagnar igen);;14783;
A607;2023-05-23;2023-06-03;1941;Bank F;;;8,31397E+13;;;14800
A607;2023-05-23;2023-06-03;1943;Bank sexmästeriet;;;8,31397E+13;;14800;
A608;2023-05-31;2023-06-03;1941;Bank F;;;8,31397E+13;;;6000
A608;2023-05-31;2023-06-03;1943;Bank sexmästeriet;;;8,31397E+13;;6000;
A609;2023-06-05;2023-06-03;1941;Bank F;;;8,31397E+13;;;20000
A609;2023-06-05;2023-06-03;1943;Bank sexmästeriet;;;8,31397E+13;;20000;
A610;2023-06-07;2023-06-06;1942;Bank café;;;Utlägg caf;;;169,76
A610;2023-06-07;2023-06-06;4321;Inköp varor;CAF1;;Utlägg caf;;169,76;
A611;2023-06-07;2023-06-06;1942;Bank café;;;Utlägg caf;;;139,2
A611;2023-06-07;2023-06-06;4321;Inköp varor;CAF1;;Utlägg caf;;139,2;
A612;2023-06-07;2023-06-06;1942;Bank café;;;Utlägg caf;;;24,9
A612;2023-06-07;2023-06-06;4321;Inköp varor;CAF1;;Utlägg caf;;24,9;
A613;2023-06-07;2023-06-06;1942;Bank café;;;Utlägg caf;;;53,9
A613;2023-06-07;2023-06-06;4321;Inköp varor;CAF1;;Utlägg caf;;53,9;
A614;2023-06-07;2023-06-06;1942;Bank café;;;Utlägg caf;;;387
A614;2023-06-07;2023-06-06;5460;Förbrukningsmaterial;CAF1;;Utlägg caf;;4,5;
A614;2023-06-07;2023-06-06;4321;Inköp varor;CAF1;;Utlägg caf;;382,5;
A615;2023-06-07;2023-06-06;1942;Bank café;;;Utlägg caf;;;448,7
A615;2023-06-07;2023-06-06;5460;Förbrukningsmaterial;CAF1;;Utlägg caf;;9;
A615;2023-06-07;2023-06-06;4321;Inköp varor;CAF1;;Utlägg caf;;439,7;
A616;2023-06-07;2023-06-06;1942;Bank café;;;Utlägg caf;;;113,7
A616;2023-06-07;2023-06-06;4321;Inköp varor;CAF1;;Utlägg caf;;113,7;
A617;2023-06-07;2023-06-06;1942;Bank café;;;Utlägg caf;;;73,8
A617;2023-06-07;2023-06-06;4321;Inköp varor;CAF1;;Utlägg caf;;73,8;
A618;2023-05-17;2023-06-06;1944;Bank projekt;;;ICA KVANTUM MALMBORGS K3659;;;30,9
A618;2023-05-17;2023-06-06;4321;Inköp varor;CAF1;;ICA KVANTUM MALMBORGS K3659;;30,9;
A619;2023-05-08;2023-06-06;1942;Bank café;;;SC1310414475;;;7879
A619;2023-05-08;2023-06-06;4314;Inköp kaffe;CAF1;;SC1310414475;moms 12;967;
A619;2023-05-08;2023-06-06;4321;Inköp varor;CAF1;;SC1310414475;;6912;
A620;2023-05-19;2023-06-06;1942;Bank café;;;Mormors 079440;;;8149
A620;2023-05-19;2023-06-06;4313;Inköp bröd;CAF1;;Mormors 079440;;8149;
A621;2023-05-10;2023-06-06;3800;Internt (biljetter och försäljning);CAF1;;Styrelsen kaffe;;;70
A621;2023-05-10;2023-06-06;7111;Styrelsen disponibelt;ADM1;;Styrelsen kaffe;kaffe 1 termos;70;
A622;2023-05-17;2023-06-06;1942;Bank café;;;2719995;;222,11;
A622;2023-05-17;2023-06-06;3510;Pantintäkt;CAF1;;2719995;;;222,11
A623;2023-05-12;2023-06-06;1942;Bank café;;;SC1310414864;;;4082
A623;2023-05-12;2023-06-06;5460;Förbrukningsmaterial;CAF1;;SC1310414864;;68,6;
A623;2023-05-12;2023-06-06;4314;Inköp kaffe;CAF1;;SC1310414864;moms 12%;967;
A623;2023-05-12;2023-06-06;4321;Inköp varor;CAF1;;SC1310414864;;3046,4;
A624;2023-05-12;2023-06-06;3800;Internt (biljetter och försäljning);CAF1;;LiBU kaffe;;;210
A624;2023-05-12;2023-06-06;4210;Arrangemangskostnad;LIK1;;LiBU kaffe;3 termosar kaffe a 70kr;210;
A625;2023-05-19;2023-06-06;1942;Bank café;;;SC1310415691;;;11565
A625;2023-05-19;2023-06-06;5460;Förbrukningsmaterial;CAF1;;SC1310415691;;3299,43;
A625;2023-05-19;2023-06-06;4321;Inköp varor;CAF1;;SC1310415691;;8265,57;
A626;2023-05-22;2023-06-06;1942;Bank café;;;SC1310415940;;;3609
A626;2023-05-22;2023-06-06;5460;Förbrukningsmaterial;CAF1;;SC1310415940;;178,59;
A626;2023-05-22;2023-06-06;4321;Inköp varor;CAF1;;SC1310415940;;3430,41;
A627;2023-05-15;2023-06-06;1942;Bank café;;;SC1310415245;;;14053
A627;2023-05-15;2023-06-06;5460;Förbrukningsmaterial;CAF1;;SC1310415245;;1518,58;
A627;2023-05-15;2023-06-06;4314;Inköp kaffe;CAF1;;SC1310415245;moms 12%;967;
A627;2023-05-15;2023-06-06;4321;Inköp varor;CAF1;;SC1310415245;;11567,42;
A628;2023-05-26;2023-06-06;1942;Bank café;;;SC1310416465;;;2031
A628;2023-05-26;2023-06-06;4321;Inköp varor;CAF1;;SC1310416465;;2031;
A629;2023-06-05;2023-09-27;1942;Bank café;;;SC1310417487;;;962
A629;2023-06-05;2023-09-27;4314;Inköp kaffe;CAF1;;SC1310417487;;962;
A630;2023-06-16;2023-09-19;1941;Bank F;;;Power Banks Tandem;;;1099,8
A630;2023-06-16;2023-09-19;4210;Arrangemangskostnad;KUL1;;Power Banks Tandem;;1099,8;
A630;2023-06-16;2023-09-19;1941;Bank F;;;Power Banks Tandem;Förseningsavgift;;60
A630;2023-06-16;2023-09-19;6570;Bankkostnader;ADM1;;Power Banks Tandem;;60;
A631;2023-06-30;2023-09-19;1941;Bank F;;;Mat FNU;;;7780
A631;2023-06-30;2023-09-19;4210;Arrangemangskostnad;FNU1;;Mat FNU;;7780;
A632;2023-06-07;2023-06-07;1941;Bank F;;;Reise skifte Lophtet;;;1250
A632;2023-06-07;2023-06-07;4210;Arrangemangskostnad;KUL1;;Reise skifte Lophtet;;1250;
A633;2023-05-22;2023-06-09;1943;Bank sexmästeriet;;;AKADEMIBOKHANDE K7682;;;199
A633;2023-05-22;2023-06-09;4321;Inköp varor;SEX1;;AKADEMIBOKHANDE K7682;;199;
A634;2023-06-01;2023-06-09;1943;Bank sexmästeriet;;;Systembolaget   K6612;;;8848,1
A634;2023-06-01;2023-06-09;4412;Inköp pubdryck;SEX1;;Systembolaget   K6612;;8848,1;
A635;2023-06-05;2023-06-09;1943;Bank sexmästeriet;;;ICA KVANTUM MOBILIA LU K7490;;;633
A635;2023-06-05;2023-06-09;4321;Inköp varor;SEX1;;ICA KVANTUM MOBILIA LU K7490;;28,5;
A635;2023-06-05;2023-06-09;4412;Inköp pubdryck;SEX1;;ICA KVANTUM MOBILIA LU K7490;;604,5;
A636;2023-06-05;2023-06-09;1943;Bank sexmästeriet;;;ICA KVANTUM MALMBORGS K6612;;;318,8
A636;2023-06-05;2023-06-09;4411;Inköp pubmat;SEX1;;ICA KVANTUM MALMBORGS K6612;;159;
A636;2023-06-05;2023-06-09;4321;Inköp varor;SEX1;;ICA KVANTUM MALMBORGS K6612;;159,8;
A637;2023-06-05;2023-06-09;1943;Bank sexmästeriet;;;ICA KVANTUM MALMBORGS K9173;;;504,4
A637;2023-06-05;2023-06-09;4311;Inköp mat;SEX1;;ICA KVANTUM MALMBORGS K9173;;504,4;
A638;2023-06-05;2023-06-09;1943;Bank sexmästeriet;;;WILLYS LUND     K9173;;;5934,5
A638;2023-06-05;2023-06-09;4311;Inköp mat;SEX1;;WILLYS LUND     K9173;;5934,5;
A639;2023-06-05;2023-06-09;1943;Bank sexmästeriet;;;WILLYS LUND     K9173;;;3317,56
A639;2023-06-05;2023-06-09;4321;Inköp varor;SEX1;;WILLYS LUND     K9173;;512,7;
A639;2023-06-05;2023-06-09;7695;Arbetskostnad;SEX1;;WILLYS LUND     K9173;;2804,86;
A640;2023-06-05;2023-06-09;1943;Bank sexmästeriet;;;BRODER JAKOBS   K9173;;;190
A640;2023-06-05;2023-06-09;4311;Inköp mat;SEX1;;BRODER JAKOBS   K9173;;190;
A641;2023-06-05;2023-06-09;1943;Bank sexmästeriet;;;BRODER JAKOBS   K9173;;;380
A641;2023-06-05;2023-06-09;4311;Inköp mat;SEX1;;BRODER JAKOBS   K9173;;380;
A642;2023-04-17;2023-06-09;1946;Bank nollning;NOL1;;POLISEN WEBKOP K9075;;;870
A642;2023-04-17;2023-06-09;6950;Avgift till myndighet;NOL1;;POLISEN WEBKOP K9075;;870;
A643;2023-05-15;2023-06-09;1946;Bank nollning;NOL1;;2CO.COM*DIGSIGNER.COM K4673;;;256,6
A643;2023-05-15;2023-06-09;4490;Övriga kostnader;NOL1;;2CO.COM*DIGSIGNER.COM K4673;;256,6;
A644;2023-05-15;2023-06-09;1946;Bank nollning;NOL1;;Fruugo.com K4673;;;995,49
A644;2023-05-15;2023-06-09;5460;Förbrukningsmaterial;NOL1;;Fruugo.com K4673;;995,49;
A645;2023-06-09;2023-06-09;1941;Bank F;;;Ringar till Fös-Outfit;;;22
A645;2023-06-09;2023-06-09;5480;Arbetskläder;NOL1;;Ringar till Fös-Outfit;;22;
A646;2023-06-09;2023-06-09;1941;Bank F;;;Klänning Fös-Outfit;;;984,5
A646;2023-06-09;2023-06-09;5480;Arbetskläder;NOL1;;Klänning Fös-Outfit;;984,5;
A647;2023-06-09;2023-06-09;1941;Bank F;;;Smycken Fös-Outfit;;;208
A647;2023-06-09;2023-06-09;5480;Arbetskläder;NOL1;;Smycken Fös-Outfit;;208;
A648;2023-06-09;2023-06-09;1941;Bank F;;;Skor till Fös-Outfit;;;348
A648;2023-06-09;2023-06-09;5480;Arbetskläder;NOL1;;Skor till Fös-Outfit;;348;
A649;2023-06-09;2023-06-09;1941;Bank F;;;Skor Fös-Outfit;;;283
A649;2023-06-09;2023-06-09;5480;Arbetskläder;NOL1;;Skor Fös-Outfit;;283;
A650;2023-06-09;2023-06-09;1941;Bank F;;;Tyg Mantel Fös-Outfit;;;42
A650;2023-06-09;2023-06-09;5480;Arbetskläder;NOL1;;Tyg Mantel Fös-Outfit;;42;
A651;2023-06-09;2023-06-09;1941;Bank F;;;Mötesmat Föset;;;461,31
A651;2023-06-09;2023-06-09;7691;Fika;ADM2;;Mötesmat Föset;;461,31;
A652;2023-06-09;2023-06-09;1941;Bank F;;;Mötesmat Föset;;;340
A652;2023-06-09;2023-06-09;7691;Fika;ADM2;;Mötesmat Föset;;340;
A653;2023-06-09;2023-06-09;1941;Bank F;;;Halsband till Fös-Outfit;;;38
A653;2023-06-09;2023-06-09;5480;Arbetskläder;NOL1;;Halsband till Fös-Outfit;;38;
A654;2023-06-09;2023-06-09;1941;Bank F;;;Glasögon Fös-Outfit;;;894
A654;2023-06-09;2023-06-09;5480;Arbetskläder;NOL1;;Glasögon Fös-Outfit;;894;
A655;2023-06-09;2023-06-09;1941;Bank F;;;Kjol Fös-Outfit;;;1173
A655;2023-06-09;2023-06-09;5480;Arbetskläder;NOL1;;Kjol Fös-Outfit;;1173;
A656;2023-06-09;2023-06-09;1941;Bank F;;;Tiara Fös-Outfit;;;321
A656;2023-06-09;2023-06-09;5480;Arbetskläder;NOL1;;Tiara Fös-Outfit;;321;
A657;2023-06-09;2023-06-09;1941;Bank F;;;Skor Fös-Outfit;;;368,5
A657;2023-06-09;2023-06-09;5480;Arbetskläder;NOL1;;Skor Fös-Outfit;;368,5;
A658;2023-03-21;2023-06-09;1946;Bank nollning;NOL1;;Selfmade Goteborg K9075;;;2761,5
A658;2023-03-21;2023-06-09;5480;Arbetskläder;NOL1;;Selfmade Goteborg K9075;;2761,5;
A659;2023-03-21;2023-09-28;5480;Arbetskläder;NOL1;;Klarna*agstextil.se K9075;;480;
A659;2023-03-21;2023-09-28;1946;Bank nollning;NOL1;;Klarna*agstextil.se K9075;;;480
A660;2023-05-19;2023-06-09;1946;Bank nollning;;;THOMANN DE SE K4673;;;2194
A660;2023-05-19;2023-06-09;2171;Investeringsfonden;;;THOMANN DE SE K4673;;2194;
A661;2023-06-02;2023-06-09;1946;Bank nollning;;;Alibaba.com Luxembourg;;;3942,68
A661;2023-06-02;2023-06-09;5460;Förbrukningsmaterial;NOL1;;Alibaba.com Luxembourg;;3942,68;
A662;2023-06-05;2023-06-09;1943;Bank sexmästeriet;;;Systembolaget   K6612 (RETUR);;2998,9;
A662;2023-06-05;2023-06-09;4412;Inköp pubdryck;SEX1;;Systembolaget   K6612 (RETUR);;;2998,9
A663;2023-06-09;2023-06-09;1943;Bank sexmästeriet;;;Internöverföring;;;13076,39
A663;2023-06-09;2023-06-09;1941;Bank F;;;Internöverföring;;13076,39;
A664;2023-06-09;2023-06-30;1941;Bank F;;;Lunch föreläsning;;;7780
A664;2023-06-09;2023-06-30;4210;Arrangemangskostnad;FNU1;;Lunch föreläsning;;7780;
A665;2023-06-30;2023-09-28;1941;Bank F;;;Ehuset tryckeri;;;2179
A665;2023-06-30;2023-09-28;6150;Tryckkostnader;SAN1;;Ehuset tryckeri;;2179;
A666;2023-06-30;2023-09-28;1941;Bank F;;;Fotoväg;;;3568
A666;2023-06-30;2023-09-28;2173;Reparationsfonden;;;Fotoväg;;3568;
A667;2023-06-07;2023-06-30;1944;Bank projekt;;;Minecraft Server;;;192,74
A667;2023-06-07;2023-06-30;4210;Arrangemangskostnad;KUL1;;Minecraft Server;;192,74;
A668;2023-06-30;2023-06-30;1941;Bank F;;;Paddel;;;2765,51
A668;2023-06-30;2023-06-30;4210;Arrangemangskostnad;KUL2;;Paddel;;2700;
A668;2023-06-30;2023-06-30;6570;Bankkostnader;ADM1;;Paddel;;65,51;
A669;2023-05-23;2023-09-05;1942;Bank café;;;Zettle Komplett Lv7 Lp4 ;;25533,55;
A669;2023-05-23;2023-09-05;3010;Försäljning;CAF1;;Zettle Komplett Lv7 Lp4 ;;;19719
A669;2023-05-23;2023-09-05;3110;Biljetter;SEX1;;Zettle Komplett Lv7 Lp4 ;;;4600
A669;2023-05-23;2023-09-05;3010;Försäljning;ADM2;;Zettle Komplett Lv7 Lp4 ;;;1600
A669;2023-05-23;2023-09-05;3010;Försäljning;PRY1;;Zettle Komplett Lv7 Lp4 ;;;53
A669;2023-05-23;2023-09-05;6571;Transaktionsavgifter;ADM1;;Zettle Komplett Lv7 Lp4 ;;438,45;
A670;2023-05-30;2023-09-25;1942;Bank café;;;Zettle Komplett Inläsningsvecka Lp4 ;;2432,62;
A670;2023-05-30;2023-09-25;3110;Biljetter;SEX1;;Zettle Komplett Inläsningsvecka Lp4 ;;;2495
A670;2023-05-30;2023-09-25;6571;Transaktionsavgifter;ADM1;;Zettle Komplett Inläsningsvecka Lp4 ;;62,38;
A671;2023-05-30;2023-09-25;1942;Bank café;;;Zettle Komplett Tentavecka Lp4 ;;10796,08;
A671;2023-05-30;2023-09-25;3010;Försäljning;SEX1;;Zettle Komplett Tentavecka Lp4 ;;;10545
A671;2023-05-30;2023-09-25;3110;Biljetter;SEX1;;Zettle Komplett Tentavecka Lp4 ;;;420
A671;2023-05-30;2023-09-25;6571;Transaktionsavgifter;ADM1;;Zettle Komplett Tentavecka Lp4 ;;168,92;
A672;2023-06-22;2023-08-09;1941;Bank F;;;Bidrag UF;;38400;
A672;2023-06-22;2023-08-09;3212;Bidrag;ADM1;;Bidrag UF;;;38400
A673;2023-08-03;2023-08-08;1945;Bank projekt 2;;;Internöverföring inför nollningen ;;;100000
A673;2023-08-03;2023-08-08;1946;Bank nollning;;;Internöverföring inför nollningen ;;100000;
A674;2023-08-08;2023-08-08;1942;Bank café;;;Internöverföring;;;150000
A674;2023-08-08;2023-08-08;1941;Bank F;;;Internöverföring;;150000;
A675;2023-08-08;2023-08-08;4210;Arrangemangskostnad;KUL1;;Lophtet Valborg;;2915;
A675;2023-08-08;2023-08-08;1941;Bank F;;;Lophtet Valborg;;;2915
A676;2023-06-14;2023-08-09;1941;Bank F;;;Kundbet Lunds Universitet (1875);;7501,46;
A676;2023-06-14;2023-08-09;1610;Fordringar;;;Kundbet Lunds Universitet (1875);;;7501,46
A677;2023-06-14;2023-08-09;1941;Bank F;;;Kundbet Sofie Wigren (1871);;150;
A677;2023-06-14;2023-08-09;1610;Fordringar;;;Kundbet Sofie Wigren (1871);;;150
A678;2023-06-14;2023-08-09;1941;Bank F;;;Kundbet Wilma Söderbaum (1862);;150;
A678;2023-06-14;2023-08-09;1610;Fordringar;;;Kundbet Wilma Söderbaum (1862);;;150
A679;2023-05-30;2023-08-09;1941;Bank F;;;Kundbet Samuel Ekström (1876);;1276;
A679;2023-05-30;2023-08-09;1610;Fordringar;;;Kundbet Samuel Ekström (1876);;;1276
A680;2023-05-17;2023-08-09;1941;Bank F;;;Kundbet Nils Thorin (1869);;595;
A680;2023-05-17;2023-08-09;1610;Fordringar;;;Kundbet Nils Thorin (1869);;;595
A681;2023-05-17;2023-08-09;3212;Bidrag;ADM1;;Sektionsbidrag ;;;25920
A681;2023-05-17;2023-08-09;1941;Bank F;;;Sektionsbidrag ;;25920;
A682;2023-05-16;2023-08-09;1610;Fordringar;;;Kundbet Blendona Ibrahimi (1859);;;150
A682;2023-05-16;2023-08-09;1941;Bank F;;;Kundbet Blendona Ibrahimi (1859);;150;
A683;2023-05-16;2023-08-09;1610;Fordringar;;;Kundbet Thea Flemsäter (1863);;;150
A683;2023-05-16;2023-08-09;1941;Bank F;;;Kundbet Thea Flemsäter (1863);;150;
A684;2023-05-16;2023-08-09;1941;Bank F;;;Kundbet Sebastian Lian (1860);;150;
A684;2023-05-16;2023-08-09;1610;Fordringar;;;Kundbet Sebastian Lian (1860);;;150
A685;2023-05-16;2023-08-09;1941;Bank F;;;Kundbet Oscar Johansson (1873);;165;
A685;2023-05-16;2023-08-09;1610;Fordringar;;;Kundbet Oscar Johansson (1873);;;165
A686;2023-05-16;2023-08-09;1941;Bank F;;;Kundbet Arshad Jamil (1867);;170;
A686;2023-05-16;2023-08-09;1610;Fordringar;;;Kundbet Arshad Jamil (1867);;;170
A687;2023-05-16;2023-08-09;1941;Bank F;;;Kundbet Harald Caap (1865);;300;
A687;2023-05-16;2023-08-09;1610;Fordringar;;;Kundbet Harald Caap (1865);;;300
A688;2023-05-16;2023-08-09;1941;Bank F;;;Kundbet Charles van Amersfoort (1866);;315;
A688;2023-05-16;2023-08-09;1610;Fordringar;;;Kundbet Charles van Amersfoort (1866);;;315
A689;2023-05-17;2023-08-09;1941;Bank F;;;Kundbet Pontus Lindberg (1858);;250;
A689;2023-05-17;2023-08-09;1610;Fordringar;;;Kundbet Pontus Lindberg (1858);;;250
A690;2023-06-02;2023-08-09;1941;Bank F;;;Kundbet Electrolux Professional (1852);;23000;
A690;2023-06-02;2023-08-09;1610;Fordringar;;;Kundbet Electrolux Professional (1852);;;23000
A691;2023-06-07;2023-08-09;1941;Bank F;;;Kundbet Rebecca Jungåker (1868);;150;
A691;2023-06-07;2023-08-09;1610;Fordringar;;;Kundbet Rebecca Jungåker (1868);;;150
A692;2023-06-07;2023-08-09;1941;Bank F;;;Kundbet Lisa Nilén (1870);;435;
A692;2023-06-07;2023-08-09;1610;Fordringar;;;Kundbet Lisa Nilén (1870);;;435
A693;2023-06-21;2023-08-09;1941;Bank F;;;Kundbet Lisa Nilén (1878);;1250;
A693;2023-06-21;2023-08-09;1610;Fordringar;;;Kundbet Lisa Nilén (1878);;;1250
A694;2023-08-10;2023-08-10;1941;Bank F;;;Tandembiljetter;;;44550
A694;2023-08-10;2023-08-10;4210;Arrangemangskostnad;KUL1;;Tandembiljetter;;44550;
A695;2023-08-10;2023-08-10;4210;Arrangemangskostnad;FNU1;;Alumnipup;;2705;
A695;2023-08-10;2023-08-10;1941;Bank F;;;Alumnipup;;;2705
A696;2023-08-10;2023-08-10;4210;Arrangemangskostnad;KUL1;;Skvalborg Teknik ;;1590;
A696;2023-08-10;2023-08-10;1941;Bank F;;;Skvalborg Teknik ;;;1590
A697;2023-08-10;2023-08-10;7111;Styrelsen disponibelt;ADM1;;Uteblivennärvaro;;400;
A697;2023-08-10;2023-08-10;1941;Bank F;;;Uteblivennärvaro;;;400
A698;2023-08-10;2023-08-10;1941;Bank F;;;Revisormat;;;84,7
A698;2023-08-10;2023-08-10;7691;Fika;ADM2;;Revisormat;;84,7;
A699;2023-08-10;2023-08-10;1941;Bank F;;;Revisormat;;;170
A699;2023-08-10;2023-08-10;7691;Fika;ADM2;;Revisormat;;170;
A700;2023-08-10;2023-08-10;1941;Bank F;;;Ceq mat;;;170
A700;2023-08-10;2023-08-10;7691;Fika;ADM2;;Ceq mat;;170;
A701;2023-08-10;2023-08-10;1941;Bank F;;; Arbetskläder RM;;;600
A701;2023-08-10;2023-08-10;5480;Arbetskläder;KUL1;; Arbetskläder RM;;600;
A702;2023-08-10;2023-08-10;1941;Bank F;;;Heltidssittning;;;2000
A702;2023-08-10;2023-08-10;7111;Styrelsen disponibelt;ADM1;;Heltidssittning;;2000;
A703;2023-07-03;2023-08-10;1944;Bank projekt;;;Mincraftserver;;;194,09
A703;2023-07-03;2023-08-10;4210;Arrangemangskostnad;KUL1;;Mincraftserver;;194,09;
