Vernr;Bokföringsdatum;Registreringsdatum;Konto;Benämning;Ks;Projnr;Verifikationstext;Transaktionsinfo;Debet;Kredit
A482;2023-04-29;2023-04-29;4210;Arrangemangskostnad;SAN1;;VonTänen Testar;;45;
A482;2023-04-29;2023-04-29;4210;Arrangemangskostnad;SAN1;;VonTänen Testar;;25;
A483;2023-04-29;2023-04-29;1941;Bank F;;;Livsmedelskontroll;;;2674
A483;2023-04-29;2023-04-29;6950;Avgift till myndighet;CAF1;;Livsmedelskontroll;;2674;
A484;2023-03-30;2023-04-29;1944;Bank projekt;;;TågSaftVT23;;;5145
A484;2023-03-30;2023-04-29;6070;Representaion;ADM2;;TågSaftVT23;;5145;
A485;2023-03-30;2023-04-29;1944;Bank projekt;;;TågSaftVT23;;;6498
A485;2023-03-30;2023-04-29;6070;Representaion;ADM2;;TågSaftVT23;;6498;
A486;2023-03-30;2023-04-29;1944;Bank projekt;;;TågSaftVT23;;;2888
A486;2023-03-30;2023-04-29;6070;Representaion;ADM2;;TågSaftVT23;;2888;
A487;2023-03-28;2023-04-29;1944;Bank projekt;;;Deisel;;;1241,44
A487;2023-03-28;2023-04-29;5511;Drivmedel;PRY2;;Deisel;;1241,44;
A488;2023-04-03;2023-04-29;1944;Bank projekt;;;MinecraftServer;;;185,98
A488;2023-04-03;2023-04-29;4210;Arrangemangskostnad;KUL1;;MinecraftServer;;185,98;
A489;2023-04-27;2023-04-29;1944;Bank projekt;;;MinecraftServer;;;180,91
A489;2023-04-27;2023-04-29;4210;Arrangemangskostnad;KUL1;;MinecraftServer;;180,91;
A490;2023-04-06;2023-04-29;1944;Bank projekt;;;StämpelSkvalborg;;;335
A490;2023-04-06;2023-04-29;4210;Arrangemangskostnad;KUL1;;StämpelSkvalborg;;335;
A491;2023-04-05;2023-04-29;1944;Bank projekt;;;Skvalborg Dekor;;;1215,6
A491;2023-04-05;2023-04-29;4210;Arrangemangskostnad;KUL1;;Skvalborg Dekor;;1215,6;
A492;2023-04-28;2023-04-29;1944;Bank projekt;;;Skvalborg Jobbarglädje+muggar;;;1065,5
A492;2023-04-28;2023-04-29;4210;Arrangemangskostnad;KUL1;;Skvalborg Jobbarglädje+muggar;;1065,5;
A493;2023-04-28;2023-04-29;1944;Bank projekt;;;SkvalborgKomp;;;77,8
A493;2023-04-28;2023-04-29;4210;Arrangemangskostnad;KUL1;;SkvalborgKomp;;77,8;
A494;2023-04-28;2023-05-05;7695;Arbetskostnad;SAN1;;Fotograf och Sångförmän FETSM;;80;
A494;2023-04-28;2023-05-05;3800;Internt (biljetter och försäljning);SEX1;;Fotograf och Sångförmän FETSM;;;320
A494;2023-04-28;2023-05-05;6070;Representaion;SEX1;;Fotograf och Sångförmän FETSM;;240;
A495;2023-05-05;2023-05-04;1942;Bank café;;;Sibon 4492;;;59312,5
A495;2023-05-05;2023-05-04;5460;Förbrukningsmaterial;CAF1;;Sibon 4492;60 000 pappersmuggar (!!!!!!);59312,5;
A496;2023-04-28;2023-05-04;1942;Bank café;;;SC1310413465;;;3491
A496;2023-04-28;2023-05-04;4321;Inköp varor;CAF1;;SC1310413465;;3491;
A497;2023-05-02;2023-05-04;1942;Bank café;;;SC1310413723;;;9867
A497;2023-05-02;2023-05-04;5460;Förbrukningsmaterial;CAF1;;SC1310413723;Ajax, kaffefilter;1722,2;
A497;2023-05-02;2023-05-04;4321;Inköp varor;CAF1;;SC1310413723;;8144,8;
A498;2023-04-19;2023-05-04;1942;Bank café;;;2719995;;689,36;
A498;2023-04-19;2023-05-04;3510;Pantintäkt;CAF1;;2719995;;;689,36
A499;2023-05-05;2023-05-04;1942;Bank café;;;Utlägg caf;;;163,7
A499;2023-05-05;2023-05-04;5460;Förbrukningsmaterial;CAF1;;Utlägg caf;;4,5;
A499;2023-05-05;2023-05-04;4321;Inköp varor;CAF1;;Utlägg caf;;159,2;
A500;2023-05-05;2023-05-04;1942;Bank café;;;Utlägg caf;;;189,9
A500;2023-05-05;2023-05-04;5460;Förbrukningsmaterial;CAF1;;Utlägg caf;;4,5;
A500;2023-05-05;2023-05-04;4321;Inköp varor;CAF1;;Utlägg caf;;185,4;
A501;2023-05-05;2023-05-04;1942;Bank café;;;Utlägg caf;;;165,4
A501;2023-05-05;2023-05-04;4321;Inköp varor;CAF1;;Utlägg caf;;165,4;
A502;2023-05-05;2023-05-05;3800;Internt (biljetter och försäljning);SEX1;;Gratis Sittning: Hanna Knutsson (Temasläpp);;;120
A502;2023-05-05;2023-05-05;7694;Reglementerat funktionärstack;SEX1;;Gratis Sittning: Hanna Knutsson (Temasläpp);;120;
A503;2023-02-04;2023-05-05;3800;Internt (biljetter och försäljning);SEX1;;Gratis Sittning: Lothar Nygren (FETSM 1);;;80
A503;2023-02-04;2023-05-05;7694;Reglementerat funktionärstack;SEX1;;Gratis Sittning: Lothar Nygren (FETSM 1);;80;
A504;2023-05-05;2023-05-18;7695;Arbetskostnad;SAN1;;Fotograf, Sångförmän, DJ-F Temasläpp;;120;
A504;2023-05-05;2023-05-18;6070;Representaion;SEX1;;Fotograf, Sångförmän, DJ-F Temasläpp;Sexet funk. går endast gratis på sittning, ej släpp!;280;
A504;2023-05-05;2023-05-18;3800;Internt (biljetter och försäljning);SEX1;;Fotograf, Sångförmän, DJ-F Temasläpp;;;400
A505;2023-05-05;2023-05-05;1942;Bank café;;;SC1310414226;;;6631
A505;2023-05-05;2023-05-05;5460;Förbrukningsmaterial;CAF1;;SC1310414226;Bakplåtspapper;1154,25;
A505;2023-05-05;2023-05-05;4314;Inköp kaffe;CAF1;;SC1310414226;;967;
A505;2023-05-05;2023-05-05;4321;Inköp varor;CAF1;;SC1310414226;;4509,75;
A506;2023-04-25;2023-05-05;1944;Bank projekt;;;ICA KVANTUM MALMBORGS K1665;;;112
A506;2023-04-25;2023-05-05;4321;Inköp varor;CAF1;;ICA KVANTUM MALMBORGS K1665;;112;
A507;2023-04-05;2023-05-05;1944;Bank projekt;;;WILLYS LUND K3659;;;152,05
